Date,Close_SP500,Volume_SP500,Close_Dow_Jones_Industrial_Average,Volume_Dow_Jones_Industrial_Average,Close_NASDAQ,Volume_NASDAQ,Close_Russell2000,Volume_Russell2000
2019-10-14,2966.149902,2557020000,26787.359375,178620000,8048.649901999999,1419730000,1505.430054,25570200
2019-10-15,2995.679932,3340740000,27024.800781,245510000,8148.709961,1836650000,1523.300049,33407400
2019-10-16,2989.689941,3222570000,27001.980469,214660000,8124.180176000001,1886720000,1525.060059,32225700
2019-10-17,2997.949951,3115960000,27025.880858999997,222540000,8156.850098000001,1861570000,1541.839966,31159600
2019-10-18,2986.199951,3264290000,26770.199219,288970000,8089.540039,2012930000,1535.47998,32642900
2019-10-21,3006.719971,3271620000,26827.640625,241030000,8162.990234000001,1752860000,1552.410034,32716200
2019-10-22,2995.98999,3523890000,26788.099609,265510000,8104.299805,1847200000,1550.869995,35238900
2019-10-23,3004.52002,3392870000,26833.949219,247680000,8119.790039,1805030000,1552.859985,33928700
2019-10-24,3010.290039,3692600000,26805.529297,253590000,8185.799805,1882490000,1548.48999,36926000
2019-10-25,3022.550049,3370370000,26958.060547000005,274610000,8243.120117,1894740000,1558.709961,33703700
2019-10-28,3039.419922,3521230000,27090.720702999995,290770000,8325.990234,1956280000,1571.930054,35212300
2019-10-29,3036.889893,3589930000,27071.460938,269610000,8276.849609,1834530000,1577.069946,35899300
2019-10-30,3046.77002,3776030000,27186.689452999995,231750000,8303.980469,1928420000,1572.849976,37760300
2019-10-31,3037.560059,4139280000,27046.230469,270910000,8292.360352,2258270000,1562.449951,41392800
2019-11-01,3066.909912,3930200000,27347.359375,270870000,8386.400391,2057310000,1589.329956,39302000
2019-11-04,3078.27002,4146850000,27462.109375,273030000,8433.200195,2149910000,1597.400024,41468500
2019-11-05,3074.6201170000004,4486130000,27492.630858999997,286350000,8434.679688,2316710000,1599.609985,44861300
2019-11-06,3076.780029,4458190000,27492.560547000005,237910000,8410.629883,2332650000,1589.540039,44581900
2019-11-07,3085.179932,4144640000,27674.800781,259020000,8434.519531,2393950000,1593.98999,41446400
2019-11-08,3093.080078,3499150000,27681.240233999997,221440000,8475.30957,1974190000,1598.859985,34991500
2019-11-11,3087.01001,3035530000,27691.490233999997,202350000,8464.280273,1715470000,1594.77002,30355300
2019-11-12,3091.840088,3466010000,27691.490233999997,213670000,8486.089844,1987820000,1595.119995,34660100
2019-11-13,3094.040039,3509280000,27783.589844,278390000,8482.099609,2173320000,1589.180054,35092800
2019-11-14,3096.6298829999996,3276070000,27781.960938,303970000,8479.019531,2106550000,1588.790039,32760700
2019-11-15,3120.459961,3335650000,28004.890625,283720000,8540.830078,2188210000,1596.449951,33356500
2019-11-18,3122.030029,3436690000,28036.220702999995,252320000,8549.94043,2047240000,1592.339966,34366900
2019-11-19,3120.179932,3590070000,27934.019531,245890000,8570.660156,2075000000,1598.290039,35900700
2019-11-20,3108.459961,4034890000,27821.089844,258140000,8526.730469,2596030000,1591.609985,40348900
2019-11-21,3103.540039,3720560000,27766.289063,232020000,8506.209961,2056230000,1583.959961,37205600
2019-11-22,3110.290039,3226780000,27875.619141000003,214780000,8519.879883,1877090000,1588.939941,32267800
2019-11-25,3133.639893,3511530000,28066.470702999995,248420000,8632.490234,2256070000,1621.900024,35115300
2019-11-26,3140.52002,4595590000,28121.679688,324050000,8647.929688,2434570000,1624.22998,45955900
2019-11-27,3153.6298829999996,3033090000,28164.0,198210000,8705.179688,1744580000,1634.099976,30330900
2019-11-29,3140.97998,1743020000,28051.410156,120630000,8665.469727,1099090000,1624.5,17430200
2019-12-02,3113.8701170000004,3268740000,27783.039063,236610000,8567.990234,2225940000,1607.579956,32687400
2019-12-03,3093.199951,3653390000,27502.810547000005,275350000,8520.639648,2308600000,1602.630005,36533900
2019-12-04,3112.76001,3695030000,27649.779297000005,218200000,8566.669922,2150680000,1613.900024,36950300
2019-12-05,3117.429932,3355750000,27677.789063,208600000,8570.700195,2123380000,1614.829956,33557500
2019-12-06,3145.909912,3479480000,28015.060547000005,223310000,8656.530273,2053530000,1633.839966,34794800
2019-12-09,3135.959961,3345990000,27909.599608999997,217000000,8621.830078,2088520000,1629.619995,33459900
2019-12-10,3132.52002,3343790000,27881.720702999995,213250000,8616.179688,2053390000,1631.709961,33437900
2019-12-11,3141.6298829999996,3252540000,27911.300781,213510000,8654.049805,1937850000,1631.930054,32525400
2019-12-12,3168.570068,3990690000,28132.050781,277740000,8717.320313,2388270000,1644.810059,39906900
2019-12-13,3168.800049,3736870000,28135.380858999997,250660000,8734.879883,2188720000,1637.97998,37368700
2019-12-16,3191.449951,4051790000,28235.890625,286770000,8814.230469,2346290000,1649.939941,40517900
2019-12-17,3192.52002,3837540000,28267.160156,286770000,8823.360352,2374120000,1657.560059,38375400
2019-12-18,3191.139893,4014080000,28239.279297000005,289890000,8827.740234,2727870000,1661.72998,40140800
2019-12-19,3205.3701170000004,3720450000,28376.960938,262570000,8887.219727,2415950000,1667.089966,37204500
2019-12-20,3221.219971,6454270000,28455.089844,603780000,8924.959961,3825460000,1671.900024,64542700
2019-12-23,3224.01001,3060610000,28551.529297000005,223530000,8945.650391,2025450000,1674.140015,30606100
2019-12-24,3223.3798829999996,1296540000,28515.449219,86150000,8952.879883,1014520000,1678.0100100000002,12965400
2019-12-26,3239.909912,2160680000,28621.390625,155970000,9022.389648,1634920000,1677.670044,21606800
2019-12-27,3240.02002,2428670000,28645.259766000003,182280000,9006.620117,1832200000,1669.030029,24286700
2019-12-30,3221.290039,3013290000,28462.140625,181600000,8945.990234,2042420000,1664.150024,30132900
2019-12-31,3230.780029,2893810000,28538.439452999995,193340000,8972.599609,2182800000,1668.469971,28938100
2020-01-02,3257.850098,3458250000,28868.800781,251820000,9092.19043,2848370000,1666.77002,34582500
2020-01-03,3234.850098,3461290000,28634.880858999997,239590000,9020.769531,2567400000,1660.869995,34612900
2020-01-06,3246.280029,3674070000,28703.380858999997,252760000,9071.469727,2788120000,1663.26001,36740700
2020-01-07,3237.179932,3420380000,28583.679688,258900000,9068.580078,2352850000,1658.310059,34203800
2020-01-08,3253.050049,3720890000,28745.089844,291750000,9129.240234,2464090000,1663.589966,37208900
2020-01-09,3274.699951,3638390000,28956.900391000003,275060000,9203.429688,2534700000,1664.98999,36383900
2020-01-10,3265.350098,3212970000,28823.769531,237830000,9178.860352,2378990000,1657.640015,32129700
2020-01-13,3288.1298829999996,3456380000,28907.050781,249830000,9273.929688,2530270000,1669.609985,34563800
2020-01-14,3283.149902,3665130000,28939.669922000005,287440000,9251.330078,2542170000,1675.73999,36651300
2020-01-15,3289.290039,3716840000,29030.220702999995,260270000,9258.700195,2435650000,1682.4000239999998,37168400
2020-01-16,3316.810059,3535080000,29297.640625,252110000,9357.129883,2301400000,1705.219971,35350800
2020-01-17,3329.6201170000004,3698170000,29348.099608999997,321820000,9388.94043,2522670000,1699.640015,36981700
2020-01-21,3320.790039,4105340000,29196.039063,320640000,9370.80957,2684540000,1685.9000239999998,41053400
2020-01-22,3321.75,3619850000,29186.269531,283440000,9383.769531,2449390000,1684.459961,36198500
2020-01-23,3325.540039,3764860000,29160.089844,307060000,9402.480469,2460050000,1685.0100100000002,37648600
2020-01-24,3295.469971,3707130000,28989.730469,380010000,9314.910156,2611710000,1662.22998,37071300
2020-01-27,3243.6298829999996,3823100000,28535.800781,337270000,9139.30957,2583330000,1644.140015,38231000
2020-01-28,3276.23999,3526720000,28722.849608999997,330140000,9269.679688,2157830000,1658.310059,35267200
2020-01-29,3273.399902,3584500000,28734.449219,302290000,9275.160156,2223480000,1649.219971,35845000
2020-01-30,3283.659912,3787250000,28859.439452999995,326850000,9298.929688,2333500000,1648.219971,37872500
2020-01-31,3225.52002,4527830000,28256.029297000005,403890000,9150.94043,2685840000,1614.060059,45278300
2020-02-03,3248.919922,3757910000,28399.810547000005,307910000,9273.400391,2420510000,1632.209961,37579100
2020-02-04,3297.590088,3995320000,28807.630858999997,332750000,9467.969727,2445420000,1656.77002,39953200
2020-02-05,3334.689941,4117730000,29290.849608999997,357540000,9508.679688,2462470000,1681.9200440000002,41177300
2020-02-06,3345.780029,3868370000,29379.769531,263700000,9572.150391,2267300000,1677.459961,38683700
2020-02-07,3327.709961,3730650000,29102.509766000003,252860000,9520.509766,2238670000,1656.780029,37306500
2020-02-10,3352.090088,3450350000,29276.820313,250510000,9628.389648,2179310000,1667.670044,34503500
2020-02-11,3357.75,3760550000,29276.339844,279540000,9638.94043,2423670000,1677.51001,37605500
2020-02-12,3379.4499509999996,3926380000,29551.419922000005,309530000,9725.959961,2355000000,1689.380005,39263800
2020-02-13,3373.9399409999996,3498240000,29423.310547000005,291150000,9711.969727,2239270000,1693.7399899999998,34982400
2020-02-14,3380.1599119999996,3398040000,29398.080077999995,231000000,9731.179688,2222240000,1687.5799559999998,33980400
2020-02-18,3370.290039,3746720000,29232.189452999995,256600000,9732.740234,2273460000,1683.52002,37467200
2020-02-19,3386.149902,3600150000,29348.029297000005,240640000,9817.179688,2462530000,1692.569946,36001500
2020-02-20,3373.2299799999996,4007320000,29219.980469,287780000,9750.969727,2735610000,1696.069946,40073200
2020-02-21,3337.75,3899270000,28992.410156,311210000,9576.589844,2743010000,1678.609985,38992700
2020-02-24,3225.889893,4842960000,27960.800781,452580000,9221.280273,3177000000,1628.099976,48429600
2020-02-25,3128.209961,5591510000,27081.359375,513270000,8965.610352,3583400000,1571.900024,55915100
2020-02-26,3116.389893,5478110000,26957.589844,472450000,8980.780273,3567830000,1552.76001,54781100
2020-02-27,2978.76001,7058840000,25766.640625,664980000,8566.480469,4536080000,1497.869995,70588400
2020-02-28,2954.219971,8563850000,25409.359375,915990000,8567.370117,5301170000,1476.430054,85638500
2020-03-02,3090.22998,6376400000,26703.320313,637200000,8952.169922,4232760000,1518.48999,63764000
2020-03-03,3003.3701170000004,6355940000,25917.410156,647080000,8684.089844,4336700000,1486.079956,63559400
2020-03-04,3130.1201170000004,5035480000,27090.859375,457590000,9018.089844,3602870000,1531.199951,50354800
2020-03-05,3023.939941,5575550000,26121.279297,477370000,8738.589844,3748090000,1478.819946,55755500
2020-03-06,2972.3701170000004,6552140000,25864.779297,599780000,8575.620117,4279850000,1449.219971,65521400
2020-03-09,2746.560059,8423050000,23851.019531,750430000,7950.680176000001,4530350000,1313.439941,84230500
2020-03-10,2882.22998,7635960000,25018.160156,654860000,8344.25,4431930000,1350.900024,76359600
2020-03-11,2741.3798829999996,7374110000,23553.220703,663960000,7952.049805,4273890000,1264.300049,73741100
2020-03-12,2480.639893,8829380000,21200.619141,908260000,7201.799805,5066530000,1122.930054,88293800
2020-03-13,2711.02002,8258670000,23185.619141,843080000,7874.879883,4685890000,1210.130005,82586700
2020-03-16,2386.1298829999996,7781540000,20188.519531,770130000,6904.589844,4594360000,1037.420044,77815400
2020-03-17,2529.189941,8358500000,21237.380859,793060000,7334.779785,4900000000,1106.51001,83585000
2020-03-18,2398.100098,8755780000,19898.919922,871360000,6989.839844,4890820000,991.159973,87557800
2020-03-19,2409.389893,7946710000,20087.189453,780300000,7150.580078,4762170000,1058.75,79467100
2020-03-20,2304.919922,9044690000,19173.980469,872290000,6879.52002,5239940000,1013.8900150000001,90446900
2020-03-23,2237.399902,7402180000,18591.929688,787970000,6860.669922,4330610000,1002.400024,74021800
2020-03-24,2447.330078,7547350000,20704.910156,799340000,7417.859863,4417380000,1096.540039,75473500
2020-03-25,2475.560059,8285670000,21200.550781,796320000,7384.299805,4666440000,1110.369995,82856700
2020-03-26,2630.070068,7753160000,22552.169922,705180000,7797.540039,3999850000,1180.319946,77531600
2020-03-27,2541.469971,6194330000,21636.779297,588830000,7502.379883,3977010000,1131.98999,61943300
2020-03-30,2626.649902,5746220000,22327.480469,545540000,7774.149901999999,3846900000,1158.319946,57462200
2020-03-31,2584.590088,6568290000,21917.160156,571210000,7700.100098000001,4059700000,1153.099976,65682900
2020-04-01,2470.5,5947900000,20943.509766,506680000,7360.580078,3685510000,1071.98999,59479000
2020-04-02,2526.899902,6454990000,21413.439453,529540000,7487.310059,3608190000,1085.810059,64549900
2020-04-03,2488.649902,6087190000,21052.529297,450010000,7373.080078,3279100000,1052.050049,60871900
2020-04-06,2663.679932,6391860000,22679.990234,610760000,7913.240234000001,3849100000,1138.780029,63918600
2020-04-07,2659.409912,7040720000,22653.859375,594660000,7887.259765999999,4069410000,1139.170044,70407200
2020-04-08,2749.97998,5856370000,23433.570313,472740000,8090.899901999999,3470730000,1191.660034,58563700
2020-04-09,2789.820068,7880140000,23719.369141,566400000,8153.580078,4123670000,1246.72998,78801400
