,years,"Unemployment Rate, 16-24yo","Unemployment Rate, 20-24yo","Unemployment Rate, Men, 20-24yo","Unemployment Rate, Women, 20-24yo","Unemployment Rate, 25-34yo","Unemployment Rate, Men, 25-34yo","Unemployment Rate, Women, 25-34yo","Unemployment Rate, 35-44yo","Unemployment Rate, Men, 35-44yo","Unemployment Rate, Women, 35-44yo","Unemployment Rate, 45-54yo","Unemployment Rate, Men, 45-54yo","Unemployment Rate, Women, 45-54yo","Unemployment Rate, 55yo and over","Unemployment Rate, Men, 55yo and over","Unemployment Rate, Women, 55yo and over","Unemployment Rate, 25yo and over","Unemployment Rate, Men, 25yo and over","Unemployment Rate, Women, 25yo and over"
155,2006,10.4,8.2,8.9,7.3,4.6,4.3,5.1,3.7,3.2,4.2,3.2,3.3,3.2,3.1,3.2,3.1,3.7,,3.9
144,2006,10.0,7.8,8.1,7.4,4.3,4.2,4.4,3.7,3.5,3.9,2.9,2.8,2.9,3.0,3.2,2.7,3.5,,3.5
145,2006,10.6,8.5,8.9,8.1,4.4,4.5,4.4,3.5,3.4,3.6,2.8,2.6,3.1,3.0,3.0,3.1,3.5,,3.6
146,2006,10.6,8.4,8.8,8.0,4.6,4.6,4.7,2.9,2.7,3.1,2.7,2.6,2.9,3.0,2.9,3.0,3.3,,3.4
147,2006,10.6,7.9,8.4,7.4,4.5,4.0,5.2,3.5,3.3,3.6,3.0,2.8,3.2,2.9,2.6,3.2,3.5,,3.8
148,2006,10.7,8.2,9.1,7.1,4.4,4.3,4.6,3.8,3.5,4.1,3.3,3.3,3.2,2.9,2.9,2.8,3.6,,3.7
154,2006,10.8,8.6,9.2,8.0,5.2,5.1,5.3,3.6,3.1,4.1,3.2,3.3,3.1,2.9,2.8,3.0,3.7,,3.9
150,2006,10.4,7.8,7.9,7.7,4.6,4.6,4.6,3.5,3.3,3.7,3.2,3.0,3.4,3.0,3.2,2.9,3.6,,3.7
151,2006,10.0,8.1,9.0,7.1,4.8,4.6,5.0,3.5,3.3,3.8,3.3,3.5,3.1,3.0,3.0,2.9,3.7,,3.7
152,2006,10.3,8.2,8.7,7.7,4.9,4.7,5.2,3.8,3.5,4.1,3.2,3.1,3.2,3.0,3.2,3.0,3.7,,3.9
153,2006,10.5,7.8,8.5,7.0,4.8,4.4,5.2,3.8,3.6,4.1,3.2,3.3,3.0,2.6,2.6,2.7,3.6,,3.8
149,2006,10.9,8.4,8.8,8.0,4.8,4.8,4.7,3.6,3.2,4.0,3.2,3.2,3.3,3.1,3.1,3.0,3.7,,3.8
132,2007,11.7,9.4,9.8,8.9,4.9,5.1,4.8,3.8,3.7,3.9,3.5,3.3,3.7,3.2,3.2,3.3,3.8,,3.8
133,2007,10.8,8.3,8.9,7.5,4.7,4.9,4.6,3.6,3.3,3.9,3.3,3.1,3.5,3.0,3.1,3.0,3.7,,3.8
134,2007,10.7,8.6,9.2,7.8,4.7,4.9,4.5,3.4,3.3,3.6,3.4,3.2,3.6,3.1,3.1,3.1,3.7,,3.7
135,2007,11.2,9.0,10.0,7.8,4.8,4.7,5.0,3.3,3.2,3.4,3.1,3.0,3.3,3.1,3.2,3.0,3.6,,3.7
136,2007,10.7,8.4,9.0,7.6,4.6,4.7,4.6,3.6,3.1,4.1,3.1,3.1,3.2,3.2,3.3,3.0,3.6,,3.7
137,2007,10.5,8.3,9.1,7.4,4.6,4.3,5.0,3.8,3.5,4.0,3.2,3.2,3.1,3.2,3.4,2.9,3.7,,3.8
138,2007,10.6,8.0,9.0,6.8,4.6,4.6,4.6,3.3,2.9,3.7,3.0,3.1,2.9,3.1,3.1,3.1,3.5,,3.6
139,2007,9.9,7.2,8.4,5.8,4.4,4.3,4.6,3.3,3.0,3.7,3.1,3.1,3.0,3.2,3.4,3.0,3.5,,3.5
140,2007,10.3,7.8,8.5,7.0,4.4,4.3,4.5,3.4,3.2,3.6,3.1,3.2,3.0,3.1,3.3,3.0,3.5,,3.5
141,2007,10.0,7.7,8.2,7.1,4.3,4.3,4.4,3.2,3.3,3.1,3.1,3.1,3.0,3.1,3.3,2.9,3.4,,3.4
142,2007,9.9,7.6,8.3,6.7,4.9,5.1,4.6,3.3,3.4,3.2,3.2,3.2,3.2,3.1,3.2,3.0,3.6,,3.5
143,2007,10.3,8.1,8.6,7.6,4.9,5.0,4.7,3.4,3.4,3.4,3.0,2.9,3.1,3.3,3.5,3.1,3.7,,3.6
120,2008,14.8,12.3,14.3,10.1,7.6,8.5,6.6,5.9,6.2,5.7,5.6,6.2,5.0,5.0,5.3,4.8,6.1,,5.5
121,2008,14.0,11.2,13.0,9.3,7.1,7.7,6.4,5.5,5.5,5.5,5.1,5.5,4.6,4.8,5.1,4.5,5.6,,5.3
122,2008,13.6,10.8,13.1,8.3,6.7,7.1,6.2,5.4,5.5,5.3,4.6,4.8,4.4,4.5,4.6,4.4,5.3,,5.0
123,2008,13.5,11.0,12.3,9.5,6.2,6.7,5.5,5.1,5.4,4.6,4.3,4.8,3.8,4.2,4.5,3.9,4.9,,4.4
124,2008,13.1,10.7,11.8,9.4,6.2,6.5,6.0,5.1,4.8,5.4,4.3,4.3,4.2,4.2,4.2,4.0,4.9,,4.9
131,2008,11.7,8.9,9.6,8.2,5.1,5.2,4.9,3.6,3.7,3.5,3.4,3.4,3.4,3.3,3.3,3.2,3.8,,3.8
126,2008,12.9,10.0,11.1,8.8,5.4,5.4,5.5,4.4,4.6,4.3,3.8,3.9,3.8,3.3,3.4,3.3,4.3,,4.2
127,2008,13.0,10.2,10.9,9.3,5.2,5.3,5.0,4.2,4.1,4.3,3.8,3.7,3.8,3.2,3.4,3.1,4.1,,4.1
128,2008,11.0,8.7,9.6,7.7,5.1,5.0,5.1,3.9,4.1,3.7,3.7,3.9,3.4,3.0,3.0,3.3,4.0,,3.9
129,2008,11.4,9.4,10.2,8.4,5.3,5.3,5.3,3.8,3.7,4.0,3.5,3.5,3.5,3.4,3.4,3.4,4.0,,4.1
130,2008,11.4,9.0,10.1,7.7,4.9,5.0,4.8,3.6,3.4,3.8,3.4,3.4,3.4,3.3,3.3,3.3,3.8,,3.8
125,2008,13.5,10.2,11.6,8.6,5.7,6.2,5.0,4.7,4.9,4.4,3.8,3.9,3.8,3.7,3.7,3.6,4.5,,4.3
108,2009,18.8,15.5,18.4,12.4,10.0,10.8,9.0,8.7,8.9,8.5,7.8,8.9,6.7,7.2,7.9,6.2,8.4,,7.6
109,2009,19.2,16.0,18.4,13.4,10.3,11.2,9.1,8.6,9.3,7.8,7.6,9.2,5.9,7.0,7.6,6.4,8.4,,7.3
110,2009,19.1,15.8,18.9,12.4,10.6,11.3,9.6,9.0,10.0,7.8,7.7,8.8,6.4,6.9,7.5,6.3,8.6,,7.5
111,2009,18.4,15.3,17.3,13.0,10.4,11.6,8.9,8.6,9.4,7.8,7.9,9.0,6.5,6.7,7.2,6.3,8.4,,7.3
113,2009,17.9,15.1,16.8,13.3,10.1,11.2,8.8,7.9,8.9,6.7,7.4,8.6,6.1,6.8,7.3,6.4,8.1,,7.0
112,2009,18.1,15.2,16.8,13.4,10.4,11.5,9.2,8.2,9.4,6.9,7.6,8.8,6.3,6.8,7.4,6.1,8.3,,7.1
115,2009,17.6,15.0,17.5,12.3,10.3,11.6,8.8,8.1,9.1,6.9,6.9,7.9,5.9,6.7,7.0,6.0,8.0,,7.0
114,2009,18.0,15.1,17.1,13.0,10.0,11.2,8.6,8.1,8.9,7.2,7.3,8.5,6.1,7.0,7.8,6.2,8.1,,7.0
119,2009,15.0,12.5,14.4,10.3,8.3,9.3,7.1,6.7,6.9,6.5,6.0,7.0,5.0,5.4,5.6,5.3,6.6,,6.0
116,2009,16.7,14.4,16.9,11.6,9.8,11.2,8.0,7.7,8.4,6.8,6.7,7.5,5.8,6.5,6.9,5.9,7.7,,6.7
117,2009,16.5,14.0,16.5,11.3,9.3,10.4,8.0,7.3,8.0,6.5,6.8,7.4,6.1,6.3,6.6,5.9,7.4,,6.6
118,2009,16.0,13.2,15.0,11.2,9.1,10.1,7.8,6.9,7.4,6.4,6.4,7.3,5.5,5.8,6.2,5.3,7.1,,6.2
96,2010,17.9,15.1,16.8,13.3,9.9,10.3,9.4,7.7,7.9,7.6,7.5,8.3,6.6,6.8,7.3,6.2,8.0,,7.4
97,2010,18.5,16.1,18.5,13.5,10.4,10.9,9.9,7.8,7.9,7.6,8.1,9.0,7.0,7.2,7.8,6.5,8.4,,7.8
98,2010,18.7,15.3,16.8,13.8,9.6,10.1,9.0,7.8,8.1,7.5,7.6,8.2,7.0,7.1,8.1,6.0,8.1,,7.4
100,2010,17.7,14.7,16.7,12.5,9.7,10.3,9.1,7.7,8.0,7.3,8.0,8.8,7.2,7.4,8.5,6.3,8.2,,7.4
101,2010,18.4,15.5,17.8,12.9,9.8,10.5,9.0,7.9,8.1,7.5,7.4,8.3,6.4,6.8,7.6,6.1,8.0,,7.3
99,2010,17.9,14.8,16.9,12.5,9.8,10.6,8.9,8.3,8.4,8.1,7.5,8.3,6.7,7.1,7.8,6.3,8.2,,7.4
103,2010,18.1,14.7,16.2,13.1,10.6,11.4,9.6,7.9,8.5,7.2,7.6,8.3,6.8,7.0,7.6,6.2,8.3,,7.6
104,2010,19.5,17.2,20.0,14.1,10.3,11.0,9.5,8.2,8.7,7.6,7.8,8.6,7.0,7.0,7.6,6.2,8.4,,7.6
105,2010,18.8,15.8,18.4,13.0,10.2,11.4,8.8,8.6,8.9,8.3,7.9,8.8,6.9,6.9,7.6,6.1,8.5,,7.6
106,2010,18.7,15.8,18.5,12.9,10.0,11.1,8.7,8.8,9.5,7.9,7.6,8.5,6.5,7.2,7.9,6.4,8.4,,7.4
107,2010,18.8,15.9,19.4,12.1,10.0,11.1,8.8,8.5,9.1,7.9,7.8,8.7,6.7,6.9,7.7,6.1,8.3,,7.4
102,2010,18.2,15.2,17.6,12.6,10.2,11.3,8.9,7.8,8.1,7.3,7.5,8.6,6.3,6.8,7.4,6.3,8.1,,7.2
87,2011,17.3,14.6,15.5,13.6,9.5,9.6,9.5,7.5,7.6,7.4,7.1,7.4,6.9,6.6,6.8,6.4,7.7,,7.5
84,2011,16.7,14.3,15.3,13.1,9.3,9.2,9.3,6.8,6.6,7.0,6.5,6.4,6.6,6.2,6.1,6.1,7.2,,7.3
85,2011,17.0,14.3,16.0,12.4,9.1,9.1,9.1,7.0,7.0,7.0,6.6,6.6,6.6,6.3,6.6,6.2,7.3,,7.2
86,2011,16.7,13.9,14.7,13.0,9.5,9.9,9.0,7.2,7.5,6.8,6.9,7.2,6.5,7.0,7.2,6.6,7.6,,7.3
88,2011,17.4,14.5,15.9,12.9,9.4,9.6,9.1,7.7,8.0,7.4,7.0,7.3,6.8,6.6,7.0,6.5,7.7,,7.3
93,2011,17.6,15.0,16.4,13.3,9.3,9.5,9.0,7.2,7.4,7.1,7.2,7.8,6.5,6.5,6.9,6.0,7.6,,7.2
90,2011,17.1,14.3,15.1,13.5,9.6,10.1,9.1,7.7,8.0,7.3,7.3,7.6,7.0,6.9,7.8,6.1,7.9,,7.4
91,2011,17.3,14.8,15.8,13.7,9.5,9.9,9.0,7.5,7.4,7.6,7.2,7.7,6.5,6.7,7.0,6.3,7.7,,7.4
92,2011,17.6,14.9,16.3,13.3,9.8,10.1,9.3,7.4,7.3,7.5,7.2,7.7,6.6,6.5,7.0,5.8,7.7,,7.3
94,2011,17.7,15.3,16.4,14.1,9.5,9.7,9.2,7.4,7.5,7.3,7.1,7.5,6.6,6.5,7.2,5.6,7.6,,7.2
89,2011,17.3,14.5,15.3,13.6,9.6,10.2,9.0,7.0,7.3,6.5,7.1,7.6,6.6,6.8,7.3,6.4,7.7,,7.1
95,2011,18.1,15.2,16.2,14.1,9.3,9.8,8.8,7.4,7.7,7.1,7.2,7.8,6.6,6.7,7.3,6.3,7.7,,7.1
78,2012,16.2,13.6,15.0,12.0,8.2,7.9,8.5,7.0,7.1,7.0,6.4,6.4,6.4,6.2,6.7,5.7,7.0,,6.9
83,2012,16.1,13.3,14.4,12.0,9.0,8.9,9.1,6.8,6.4,7.4,6.4,6.2,6.5,5.9,6.0,5.9,7.0,,7.1
82,2012,16.5,13.8,15.7,11.7,8.6,8.6,8.7,6.8,6.4,7.3,6.5,6.3,6.7,5.8,5.7,6.0,7.0,,7.2
81,2012,16.2,13.0,14.0,11.9,8.7,8.9,8.5,6.4,6.6,6.3,6.3,6.1,6.5,6.2,6.3,6.0,6.9,,6.8
80,2012,16.6,13.3,14.5,12.1,8.2,8.2,8.3,6.6,6.5,6.7,6.2,6.1,6.3,6.3,6.3,6.1,6.8,,6.9
79,2012,16.1,13.0,14.2,11.7,8.2,8.0,8.6,6.7,6.5,6.9,6.3,6.4,6.1,6.5,7.0,5.9,6.9,,6.9
77,2012,16.3,13.4,14.8,11.9,8.1,7.8,8.4,6.7,6.5,7.0,6.5,6.6,6.4,6.2,6.5,5.7,6.9,,6.9
75,2012,15.5,12.3,13.5,11.0,8.0,7.9,8.2,6.3,6.1,6.4,6.0,6.1,6.0,5.9,6.3,5.4,6.6,,6.5
74,2012,16.0,13.1,13.7,12.4,8.1,8.0,8.3,6.2,6.0,6.5,6.0,6.1,5.8,5.9,6.0,5.6,6.5,,6.5
73,2012,15.9,12.9,13.2,12.5,7.7,7.7,7.8,6.2,6.1,6.4,6.0,6.0,5.9,5.8,6.2,5.4,6.4,,6.4
72,2012,16.5,13.8,13.7,13.9,7.8,7.7,7.8,6.6,6.1,7.2,5.8,5.7,6.0,5.9,6.2,5.5,6.5,,6.6
76,2012,16.7,13.9,15.0,12.6,8.2,8.1,8.2,6.6,6.3,7.0,6.3,6.4,6.2,5.8,6.2,5.6,6.7,,6.7
60,2013,13.4,10.8,11.5,10.1,6.9,7.0,6.8,5.4,5.2,5.5,5.0,4.9,5.2,5.1,5.2,4.9,5.6,,5.6
61,2013,14.1,11.6,12.4,10.8,7.3,7.4,7.2,5.7,5.9,5.4,5.5,5.6,5.3,4.9,5.2,4.5,5.9,,5.7
62,2013,14.8,12.2,13.7,10.5,7.1,7.2,6.9,5.7,5.7,5.7,5.8,6.0,5.6,5.5,5.6,5.3,6.0,,5.8
63,2013,15.1,12.8,14.6,10.7,7.4,7.8,6.9,5.6,5.7,5.4,5.6,5.8,5.3,5.2,5.5,5.0,6.0,,5.7
64,2013,15.7,13.2,14.6,11.6,7.7,8.3,6.9,5.6,5.6,5.7,5.4,5.5,5.2,5.0,5.4,4.6,5.9,,5.5
65,2013,15.4,12.4,13.8,10.8,7.5,7.7,7.2,5.9,5.8,6.0,5.6,5.6,5.6,5.0,5.6,4.1,6.0,,5.8
66,2013,16.0,13.5,14.9,11.9,7.6,7.5,7.8,5.9,5.8,6.1,5.8,6.0,5.6,5.4,5.5,5.4,6.2,,6.2
67,2013,16.3,13.3,14.8,11.6,7.2,7.2,7.2,6.0,5.9,6.2,5.9,6.2,5.6,5.3,5.8,4.7,6.1,,5.9
68,2013,16.3,13.4,14.4,12.3,7.5,7.7,7.3,5.9,5.8,5.9,5.9,6.1,5.6,5.5,5.7,5.2,6.2,,6.0
69,2013,16.1,13.1,14.4,11.7,7.5,7.4,7.5,6.1,5.7,6.5,5.7,5.6,5.8,5.5,5.7,5.3,6.2,,6.4
70,2013,16.3,12.9,13.2,12.7,7.7,7.7,7.8,6.2,5.9,6.6,5.6,5.7,5.5,5.7,5.9,5.5,6.3,,6.3
71,2013,16.8,14.2,15.4,12.9,7.7,7.7,7.7,6.5,6.2,7.0,6.0,6.0,6.0,6.0,6.3,5.7,6.5,,6.5
48,2014,12.2,10.5,11.3,9.5,5.8,5.6,6.1,4.3,4.2,4.3,4.0,4.0,4.0,3.9,4.1,3.8,4.5,,4.5
49,2014,12.5,10.8,11.6,10.0,6.0,6.0,6.0,4.4,4.3,4.6,4.2,4.2,4.1,4.5,4.7,4.2,4.8,,4.7
50,2014,12.6,10.3,10.0,10.5,6.1,5.9,6.4,4.4,4.1,4.7,4.0,3.8,4.3,4.1,4.2,3.9,4.7,,4.8
51,2014,13.8,11.6,12.7,10.3,6.3,5.9,6.7,4.4,4.0,4.8,4.1,4.0,4.3,3.9,3.9,3.9,4.7,,4.9
52,2014,13.2,11.0,11.9,9.9,6.8,6.6,7.1,4.8,4.9,4.7,4.1,4.1,4.1,4.5,4.4,4.6,5.0,,5.1
59,2014,14.1,11.9,12.9,10.9,6.8,6.9,6.6,5.0,4.9,5.1,5.0,5.2,4.9,4.5,4.7,4.4,5.3,,5.1
54,2014,13.1,10.5,11.8,9.1,6.5,6.6,6.3,4.7,4.5,4.9,4.2,4.1,4.3,4.5,5.0,4.0,5.0,,4.9
55,2014,13.3,11.1,12.2,10.0,6.6,6.7,6.4,5.0,4.9,5.1,4.5,4.3,4.6,4.6,4.6,4.7,5.2,,5.2
56,2014,13.0,10.8,12.2,9.2,6.7,6.6,6.7,4.9,4.8,5.0,4.6,4.5,4.8,4.7,4.7,4.6,5.2,,5.2
57,2014,14.6,12.4,13.1,11.5,6.9,6.5,7.3,5.2,5.0,5.4,4.9,4.9,5.0,4.7,4.7,4.6,5.4,,5.6
58,2014,14.5,12.0,13.6,10.4,7.1,7.0,7.2,5.0,5.1,4.9,5.1,5.3,4.9,4.5,4.5,4.4,5.4,,5.4
53,2014,13.5,11.0,12.3,9.5,6.5,6.5,6.6,4.8,4.8,4.8,4.1,3.8,4.5,4.5,4.4,4.6,5.0,,5.1
36,2015,11.1,9.2,10.0,8.3,5.3,5.5,5.1,4.0,3.8,4.3,3.7,3.4,3.9,3.2,3.4,3.0,4.0,,4.0
40,2015,11.1,9.1,10.1,8.0,5.1,5.1,5.1,3.8,3.5,4.2,3.7,3.6,3.9,3.8,3.9,3.6,4.1,,4.2
38,2015,11.0,9.2,10.3,8.0,5.3,5.4,5.1,4.1,3.8,4.5,3.7,3.6,3.7,3.5,3.4,3.5,4.1,,4.2
39,2015,11.2,9.2,10.4,8.0,5.1,5.2,5.0,4.0,3.7,4.4,3.4,3.3,3.5,3.8,4.0,3.7,4.1,,4.2
41,2015,11.5,9.7,10.5,8.8,5.5,5.5,5.5,4.1,3.8,4.4,3.7,3.5,3.9,3.7,3.7,3.5,4.2,,4.4
37,2015,11.2,9.7,11.4,7.9,5.5,5.6,5.4,4.0,3.7,4.3,3.4,3.3,3.5,3.7,3.7,3.7,4.2,,4.3
43,2015,12.3,10.3,11.4,9.0,5.8,5.6,6.0,4.5,4.3,4.7,3.9,3.7,4.1,3.8,4.0,3.7,4.5,,4.6
44,2015,11.8,9.7,10.7,8.7,5.8,5.4,6.3,4.3,4.1,4.6,3.9,4.0,3.7,4.0,4.2,3.7,4.5,,4.5
45,2015,12.5,10.7,11.3,10.0,5.7,5.7,5.7,4.1,4.1,4.2,3.7,3.7,3.8,3.9,4.0,3.7,4.4,,4.3
46,2015,11.8,10.0,10.8,9.1,5.4,5.6,5.2,4.4,4.2,4.6,3.9,3.9,3.9,4.2,4.4,4.0,4.5,,4.4
47,2015,12.0,9.6,11.3,7.7,5.9,5.8,5.9,4.4,4.4,4.4,4.2,4.0,4.4,4.1,4.2,4.0,4.6,,4.6
42,2015,11.9,9.7,10.8,8.6,5.6,5.3,5.8,4.0,4.1,3.8,3.4,3.4,3.5,3.7,3.8,3.6,4.2,,4.3
24,2016,9.8,8.0,9.2,6.7,4.7,4.7,4.7,4.0,3.8,4.2,3.4,3.2,3.6,3.5,3.5,3.5,3.9,,4.0
25,2016,10.0,8.1,9.1,7.0,4.8,4.9,4.7,3.6,3.6,3.6,3.6,3.4,3.8,3.5,3.5,3.5,3.9,,3.9
26,2016,10.4,8.3,9.7,6.9,5.1,5.1,5.1,3.9,3.7,4.1,3.5,3.3,3.7,3.7,3.8,3.5,4.0,,4.1
27,2016,10.5,8.2,9.3,7.0,5.3,5.3,5.2,4.2,4.1,4.2,3.6,3.4,3.8,3.6,3.9,3.3,4.2,,4.1
28,2016,10.4,8.3,9.6,6.8,5.0,4.8,5.3,4.0,3.7,4.3,3.5,3.3,3.7,3.5,3.6,3.4,4.0,,4.1
29,2016,10.7,8.7,10.0,7.4,5.1,5.0,5.1,3.5,3.5,3.4,3.5,3.5,3.4,3.7,4.0,3.3,3.9,,3.8
30,2016,10.6,8.6,9.3,7.8,5.2,5.2,5.2,3.8,3.6,4.1,3.4,3.3,3.5,3.5,3.8,3.3,4.0,,4.1
31,2016,10.5,8.4,9.1,7.7,5.1,5.1,5.1,3.6,3.4,3.8,3.4,3.2,3.6,3.4,3.8,3.2,3.9,,3.9
32,2016,11.0,9.1,9.6,8.5,5.2,5.3,5.1,4.0,3.7,4.4,3.6,3.5,3.7,3.7,3.8,3.6,4.1,,4.1
33,2016,10.8,8.8,9.2,8.3,5.2,5.0,5.4,3.8,3.5,4.1,3.6,3.5,3.7,3.9,3.9,3.9,4.1,,4.3
34,2016,10.4,8.6,9.2,8.0,5.0,5.0,5.0,3.7,3.6,4.0,3.6,3.3,3.8,3.8,3.9,3.5,4.0,,4.1
35,2016,10.0,7.8,8.7,6.8,5.1,5.1,5.1,3.9,3.5,4.4,3.6,3.4,3.8,3.7,3.8,3.5,4.0,,4.1
12,2017,8.9,7.0,7.9,6.1,4.4,4.3,4.5,3.0,2.6,3.4,2.7,2.8,2.7,3.3,3.3,3.2,3.4,,3.5
13,2017,9.8,7.3,8.6,5.9,4.3,4.1,4.4,3.1,2.8,3.5,2.8,2.8,2.8,3.1,3.3,2.8,3.3,,3.4
14,2017,9.1,7.2,8.0,6.3,4.4,4.3,4.5,3.0,2.8,3.3,2.8,2.8,2.7,3.1,3.3,2.8,3.3,,3.4
15,2017,9.2,7.6,8.7,6.4,4.5,4.3,4.6,3.2,2.9,3.5,3.1,3.0,3.1,3.2,3.2,3.4,3.5,,3.7
16,2017,9.1,7.2,7.8,6.6,4.8,4.8,4.7,3.3,3.2,3.5,3.4,3.4,3.5,3.2,3.2,3.0,3.7,,3.7
20,2017,9.5,7.4,8.4,6.4,4.4,4.3,4.4,3.6,3.4,3.9,3.5,2.9,4.1,3.2,3.2,3.3,3.7,,3.9
18,2017,9.1,7.4,8.4,6.4,4.4,4.5,4.2,3.4,3.2,3.6,3.5,3.3,3.7,3.1,3.0,3.3,3.6,,3.7
19,2017,8.7,6.7,7.9,5.3,4.9,4.7,5.2,3.5,3.1,3.9,3.3,3.1,3.5,3.1,3.0,3.4,3.7,,4.0
21,2017,9.2,7.4,8.5,6.3,4.5,4.8,4.2,3.8,3.6,4.1,3.2,3.1,3.4,3.3,3.4,3.4,3.7,,3.7
22,2017,9.7,8.0,9.4,6.5,4.7,4.9,4.4,4.1,3.7,4.4,3.2,3.0,3.5,3.4,3.2,3.5,3.9,,4.0
23,2017,9.8,7.9,9.0,6.7,4.9,5.0,4.8,3.9,3.7,4.1,3.3,3.2,3.5,3.5,3.3,3.6,3.9,,4.0
17,2017,8.9,7.3,8.0,6.5,4.6,4.5,4.7,3.5,3.5,3.5,3.1,3.1,3.1,3.1,3.0,3.2,3.6,,3.6
1,2018,8.2,6.6,7.4,5.8,3.7,3.3,4.1,2.9,2.9,2.9,2.7,2.7,2.7,2.8,2.9,2.8,3.1,,3.2
2,2018,8.4,6.8,7.4,6.2,3.7,3.7,3.6,3.0,3.1,2.9,2.8,2.7,2.9,2.8,2.6,3.0,3.1,,3.1
3,2018,8.6,7.0,7.6,6.4,3.6,3.5,3.7,3.0,3.0,2.8,2.6,2.6,2.6,2.8,2.9,2.9,3.0,,3.0
4,2018,8.5,6.8,7.5,6.1,4.1,4.0,4.1,2.8,2.6,3.1,2.5,2.4,2.7,3.0,3.0,3.0,3.1,,3.2
5,2018,8.6,6.8,7.4,6.2,3.5,3.5,3.6,3.0,2.5,3.5,2.9,2.7,3.0,3.1,3.1,3.0,3.1,,3.3
8,2018,8.5,6.8,7.7,5.9,4.3,4.6,4.1,3.0,2.7,3.3,2.8,2.8,2.9,3.0,3.2,2.8,3.3,,3.3
7,2018,8.6,7.0,7.8,6.2,3.9,3.8,4.0,2.9,2.8,3.1,2.7,2.8,2.7,2.8,3.1,2.6,3.1,,3.1
9,2018,8.5,6.7,7.3,6.0,4.1,4.1,4.1,3.2,2.9,3.4,2.9,2.8,2.9,3.2,3.1,3.3,3.3,,3.4
10,2018,8.9,6.8,7.5,6.0,4.2,4.0,4.5,3.1,2.8,3.5,2.9,2.8,3.0,3.2,3.4,3.0,3.4,,3.5
11,2018,9.0,7.1,8.0,6.2,4.3,4.1,4.6,3.1,3.0,3.1,3.0,3.1,2.8,3.0,3.3,2.4,3.3,,3.3
6,2018,8.9,7.5,8.3,6.7,3.9,3.8,4.0,3.1,3.0,3.2,3.0,3.0,3.0,3.1,3.2,2.9,3.3,,3.3
0,2018,8.7,7.2,7.9,6.4,3.9,3.7,4.2,2.8,2.8,2.7,2.9,3.0,2.8,2.9,2.9,2.8,3.1,,3.1
