,name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,latitude,longitude
0,Alabama,4.066666666666667,3.9749999999999996,5.716666666666666,10.991666666666667,10.541666666666666,9.616666666666667,7.983333333333332,7.216666666666668,6.758333333333334,6.083333333333333,32.318231,-86.902298
1,Alaska,6.625000000000001,6.3500000000000005,6.708333333333335,7.733333333333333,7.874999999999999,7.566666666666667,7.133333333333333,7.0,6.866666666666666,6.533333333333332,63.588753000000004,-154.493062
2,Arizona,4.2250000000000005,3.8249999999999997,6.141666666666666,9.925,10.35,9.5,8.333333333333334,7.741666666666666,6.8,6.058333333333334,34.048928000000004,-111.093731
3,Arkansas,5.175,5.3,5.5,7.824999999999999,8.191666666666666,8.291666666666666,7.575,7.216666666666666,6.016666666666666,5.008333333333333,35.20105,-91.83183299999999
4,California,4.916666666666666,5.375,7.291666666666667,11.141666666666667,12.225000000000001,11.70833333333333,10.375000000000002,8.941666666666666,7.5,6.208333333333333,36.778261,-119.41793200000001
5,Colorado,4.308333333333333,3.725,4.8500000000000005,7.300000000000001,8.725000000000001,8.358333333333334,7.891666666666667,6.849999999999999,4.991666666666666,3.8833333333333333,39.550051,-105.782067
6,Connecticut,4.333333333333333,4.4750000000000005,5.666666666666667,7.925000000000001,9.133333333333335,8.825,8.350000000000001,7.808333333333333,6.625,5.725000000000001,41.603221000000005,-73.087749
7,Delaware,3.591666666666667,3.441666666666667,4.966666666666666,8.258333333333333,8.416666666666666,7.5,7.208333333333333,6.691666666666666,5.716666666666666,4.858333333333333,38.910832,-75.52767
8,Florida,3.241666666666666,4.008333333333334,6.3,10.391666666666667,11.033333333333333,9.991666666666667,8.483333333333333,7.233333333333333,6.275000000000001,5.449999999999999,27.664827000000002,-81.515754
9,Georgia,4.7250000000000005,4.541666666666667,6.266666666666667,9.933333333333334,10.491666666666665,10.233333333333333,9.191666666666666,8.2,7.099999999999999,5.983333333333332,32.157435,-82.907123
10,Hawaii,2.6416666666666666,2.775,4.325,7.125,6.95,6.8,6.008333333333333,4.883333333333332,4.358333333333333,3.566666666666667,19.898682,-155.66585700000002
11,Idaho,3.475,3.0416666666666665,5.141666666666667,8.733333333333334,8.966666666666667,8.316666666666666,7.2,6.116666666666667,4.833333333333334,4.1000000000000005,44.068202,-114.74204099999999
12,Illinois,4.5666666666666655,4.958333333333333,6.308333333333334,10.2,10.366666666666667,9.691666666666668,8.991666666666667,9.041666666666666,7.099999999999999,5.958333333333333,40.633125,-89.398528
13,Indiana,5.083333333333333,4.5583333333333345,5.916666666666667,10.291666666666666,10.341666666666667,9.108333333333334,8.35,7.633333333333333,5.958333333333332,4.833333333333333,40.551217,-85.602364
14,Iowa,3.7000000000000006,3.7000000000000006,4.233333333333333,6.391666666666668,6.008333333333333,5.5249999999999995,5.033333333333333,4.733333333333333,4.241666666666667,3.758333333333334,41.878003,-93.097702
15,Kansas,4.391666666666666,4.241666666666665,4.625000000000001,6.866666666666667,7.058333333333334,6.491666666666666,5.733333333333334,5.308333333333333,4.533333333333332,4.183333333333334,39.011902,-98.484246
16,Kentucky,5.733333333333334,5.375,6.466666666666668,10.33333333333333,10.166666666666668,9.375,8.166666666666666,8.016666666666667,6.458333333333332,5.275,37.839333,-84.27001800000001
17,Louisiana,4.424999999999999,4.241666666666667,4.925,6.825,7.949999999999999,7.833333333333332,7.091666666666668,6.675,6.366666666666667,6.324999999999999,31.244822999999997,-92.14502399999999
18,Maine,4.566666666666667,4.683333333333333,5.516666666666667,8.083333333333334,8.124999999999998,7.891666666666667,7.466666666666668,6.650000000000001,5.608333333333333,4.383333333333334,45.253783,-69.44546899999999
19,Maryland,3.8666666666666667,3.4499999999999993,4.25,7.016666666666667,7.6499999999999995,7.249999999999999,6.966666666666668,6.566666666666666,5.816666666666666,5.066666666666667,39.045755,-76.641271
20,Massachusetts,4.891666666666666,4.6000000000000005,5.550000000000001,8.1,8.291666666666666,7.241666666666667,6.658333333333334,6.716666666666668,5.75,4.791666666666667,42.407211,-71.382437
21,Michigan,7.008333333333334,7.000000000000001,8.041666666666666,13.608333333333334,12.575000000000001,10.391666666666667,9.124999999999998,8.783333333333333,7.233333333333334,5.408333333333334,44.314844,-85.602364
22,Minnesota,3.9916666666666667,4.550000000000002,5.441666666666666,7.766666666666667,7.391666666666666,6.491666666666667,5.608333333333334,4.958333333333333,4.158333333333332,3.6833333333333336,46.729553,-94.6859
23,Mississippi,6.558333333333333,6.091666666666666,6.599999999999999,9.475,10.358333333333333,9.983333333333333,9.000000000000002,8.533333333333333,7.491666666666666,6.366666666666667,32.354668,-89.398528
24,Missouri,4.866666666666666,5.083333333333333,6.175000000000001,9.258333333333335,9.575000000000001,8.491666666666665,6.9750000000000005,6.733333333333332,6.133333333333333,4.999999999999999,37.964253,-91.83183299999999
25,Montana,3.5083333333333333,3.5750000000000006,5.108333333333333,6.841666666666666,7.3,6.941666666666666,5.983333333333333,5.408333333333332,4.658333333333333,4.208333333333334,46.879682,-110.36256599999999
26,Nebraska,3.133333333333334,3.0000000000000004,3.3416666666666663,4.641666666666666,4.625,4.391666666666667,4.016666666666667,3.766666666666667,3.266666666666667,3.008333333333334,41.492537,-99.901813
27,Nevada,4.050000000000001,4.491666666666666,6.708333333333333,11.299999999999999,13.499999999999998,13.016666666666667,11.191666666666665,9.625,7.916666666666667,6.758333333333334,38.802609999999994,-116.419389
28,New Hampshire,3.441666666666667,3.525,3.8666666666666667,6.2250000000000005,5.833333333333335,5.408333333333334,5.483333333333334,5.083333333333333,4.283333333333333,3.3749999999999996,43.193852,-71.572395
29,New Jersey,4.7333333333333325,4.2749999999999995,5.358333333333334,9.033333333333333,9.533333333333333,9.341666666666667,9.333333333333334,8.241666666666665,6.741666666666667,5.766666666666667,40.058324,-74.405661
30,New Mexico,4.175,3.7583333333333324,4.483333333333333,7.508333333333333,8.1,7.516666666666665,7.116666666666666,6.941666666666666,6.675000000000002,6.5,34.97273,-105.03236299999999
31,New York,4.558333333333333,4.55,5.458333333333333,8.316666666666666,8.591666666666669,8.299999999999999,8.516666666666667,7.708333333333333,6.333333333333335,5.258333333333333,43.299428000000006,-74.217933
32,North Carolina,4.758333333333333,4.716666666666667,6.133333333333333,10.575000000000001,10.816666666666668,10.266666666666667,9.291666666666666,7.958333333333333,6.316666666666666,5.691666666666666,35.759572999999996,-79.0193
33,North Dakota,3.208333333333334,3.1,3.1916666666666664,4.1000000000000005,3.7833333333333337,3.4666666666666663,3.066666666666667,2.916666666666666,2.6666666666666665,2.8000000000000003,47.551493,-101.002012
34,Ohio,5.425000000000001,5.541666666666668,6.4750000000000005,10.291666666666666,10.241666666666667,8.85,7.408333333333332,7.425,5.800000000000001,4.908333333333333,40.417287,-82.907123
35,Oklahoma,4.025,4.075,3.766666666666667,6.383333333333333,6.775000000000001,5.874999999999999,5.266666666666667,5.283333333333333,4.508333333333334,4.3999999999999995,35.007752,-97.092877
36,Oregon,5.333333333333333,5.166666666666666,6.566666666666666,11.258333333333333,10.608333333333334,9.5,8.825,7.874999999999999,6.766666666666667,5.583333333333333,43.804133,-120.554201
37,Pennsylvania,4.591666666666667,4.391666666666667,5.316666666666667,8.049999999999999,8.433333333333334,7.925000000000001,7.825000000000002,7.341666666666666,5.875000000000001,5.283333333333334,41.203322,-77.194525
38,Puerto Rico,10.591666666666667,11.158333333333333,11.791666666666666,15.375,16.35,15.966666666666667,14.466666666666669,14.233333333333334,13.83333333333333,12.058333333333332,18.220833,-66.590149
39,Rhode Island,4.9416666666666655,5.191666666666666,7.808333333333334,10.975000000000001,11.199999999999998,11.024999999999999,10.391666666666667,9.266666666666666,7.6916666666666655,6.0,41.580095,-71.477429
40,South Carolina,6.458333333333333,5.650000000000001,6.8500000000000005,11.233333333333333,11.133333333333335,10.541666666666668,9.200000000000001,7.616666666666666,6.458333333333333,5.974999999999999,33.836081,-81.163725
41,South Dakota,3.116666666666667,2.8250000000000006,3.0999999999999996,4.925,4.974999999999999,4.7250000000000005,4.266666666666667,3.7833333333333337,3.4083333333333328,3.1,43.969515,-99.901813
42,Tennessee,5.225,4.666666666666667,6.625,10.458333333333332,9.633333333333335,8.966666666666665,7.824999999999999,7.733333333333333,6.600000000000001,5.6000000000000005,35.517491,-86.58044699999999
43,Texas,4.891666666666667,4.274999999999999,4.825,7.5666666666666655,8.133333333333331,7.758333333333333,6.741666666666667,6.25,5.116666666666667,4.425,31.968598999999998,-99.901813
44,Utah,2.983333333333333,2.5916666666666663,3.5833333333333335,7.316666666666666,7.833333333333332,6.75,5.400000000000001,4.591666666666666,3.8166666666666678,3.600000000000001,39.32098,-111.093731
45,Vermont,3.683333333333333,4.025000000000001,4.708333333333333,6.566666666666666,6.083333333333335,5.466666666666666,4.925,4.408333333333333,3.9333333333333322,3.558333333333333,44.558803000000005,-72.577841
46,Virginia,3.1166666666666667,3.041666666666666,3.9583333333333335,6.683333333333334,7.125000000000001,6.591666666666668,6.058333333333333,5.7,5.233333333333334,4.458333333333333,37.431573,-78.656894
47,Washington,5.050000000000001,4.691666666666667,5.408333333333334,9.116666666666667,9.991666666666665,9.275,8.108333333333334,7.033333333333332,6.125,5.641666666666667,47.751073999999996,-120.74013899999999
48,West Virginia,4.95,4.5583333333333345,4.366666666666666,7.708333333333335,8.624999999999998,8.058333333333335,7.491666666666667,6.791666666666667,6.633333333333333,6.733333333333334,38.597626,-80.454903
49,Wisconsin,4.741666666666665,4.891666666666667,4.925,8.575,8.641666666666667,7.758333333333333,7.033333333333335,6.7,5.3999999999999995,4.5249999999999995,43.784440000000004,-88.787868
50,Wyoming,3.1749999999999994,2.849999999999999,3.0666666666666664,6.333333333333332,6.449999999999999,5.791666666666668,5.308333333333333,4.716666666666667,4.133333333333334,4.333333333333333,43.075967999999996,-107.29028400000001
